| Μάθημα                                                                         | Κωδικός | Περιγραφή                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Διδάσκοντες                                                                                           | Εξάμηνο | Περίοδος  | ECTS | ΔΜ | Ώρες | Κατεύθυνση                                                         | Τύπος μαθήματος                                                                              | Κατηγορία                                                  | Ομάδα          | Γονέας | Ενέργειες |
|--------------------------------------------------------------------------------+---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------+---------+-----------+------+----+------+--------------------------------------------------------------------+----------------------------------------------------------------------------------------------+------------------------------------------------------------+----------------+--------+-----------|
| ΣΥΣΤΗΜΑΤΑ ΜΙΚΡΟΥΠΟΛΟΓΙΣΤΩΝ                                                     | 3046    | Εισαγωγή στην τεχνολογία και αρχιτεκτονική των Μικροεπεξεργαστών. Συστήματα Βασισμένα σε Μικροϋπολογιστές - Ενσωματωμένα Συστήματα. Περιγραφή και σύνολο εντολών του Μικροεπεξεργαστή 8085. Συστήματα και τεχνολογία Μνημών - Τρόποι αναφοράς στη Μνήμη. Προγραμματισμός Μικροεπεξεργαστών σε γλώσσα Assembly - Μακροεντολές και Ρουτίνες. Τεχνικές για είσοδο-έξοδο δεδομένων. Συστήματα Διακοπών και Απευθείας Προσπέλαση Μνήμης. Περιγραφή των Μικροεπεξεργαστών 80x86, το σύνολο των εντολών τους και προγραμματισμός. Αρχιτεκτονική και προγραμματισμός Μικροελεγκτών AVR και PIC σε γλώσσα Assembly και C. Περιφερειακά Μικροελεγκτών και εφαρμογές. Εισαγωγή στους Επεξεργαστές RISC και στην Οικογένεια Επεξεργαστών ARM.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | Σ. Ξύδης, Κ. Πεκμεστζή, Δ. Σούντρης, Σ. Κοκόσης (Ε.ΔΙ.Π.)                                             | Έκτο    | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης                                                  | Ελεύθερα, Υποχρ. Ομάδας                                    | Υ, ΥΜ          | -      |           |
| ΜΙΚΡΟΚΥΜΑΤΑ                                                                    | 3057    | Διδάσκονται οι βασικές αρχές της τεχνολογίας υψηλών συχνοτήτων, με έμφαση στην αντιμετώπιση του κύριου προβλήματος του τηλεπικοινωνιακού μηχανικού, που είναι η μετάδοση της πληροφορίας -και κατ’ επέκταση της ενέργειαςμε τη μικρότερη δυνατή παραμόρφωση και εξασθένηση. Αρχικά εξετάζονται γενικά θέματα εξασθένησης και διασποράς (παραμόρφωσης) κατά τη διάδοση των ηλεκτρομαγνητικών κυμάτων σε άπειρο χώρο. Στη συνέχεια αναλύεται η διάδοση σε γραμμές μεταφοράς και εξετάζονται όλα τα φαινόμενα που αφορούν στη μετάδοση ενέργειας και στη συμπεριφορά της σύνθετης αντίστασης στις γραμμές. Μελετάται διεξοδικά η βέλτιστη μεταφορά ισχύος από μια πηγή σε φορτίο, αναλύονται και εξετάζονται οι διάφορες μέθοδοι επίτευξης της προσαρμογής αυτής (προσαρμοστικά κυκλώματα). Ακολουθεί η μελέτη των μηχανισμών κυματοδήγησης σε μεταλλικούς κυματοδηγούς ορθογώνιας και κυκλικής διατομής, ομοαξονικές γραμμές και μικροταινίες. Η μελέτη των κυματοδηγών αυτών γίνεται με τέτοιο τρόπο ώστε ο εκπαιδευόμενος μηχανικός να είναι σε θέση να αναλύει πιθανούς άλλους τύπους κυματοδηγών όπως παραλλαγές των προαναφερθέντων ή ακόμα νέου τύπου κυματοδηγούς. Η τρίτη ενότητα είναι η θεωρία μικροκυματικών δικτύων, η οποία βασίζεται στην ενσωμάτωση στη θεωρία κυκλωμάτων του μηχανισμού διάδοσης κυμάτων και στην περιγραφή των ιδιοτήτων των κυκλωματικών στοιχείων με χρήση της έννοιας των πινάκων (μητρών) σκέδασης. Στη διάρκεια του μαθήματος, εκτός από τις φροντιστηριακές ασκήσεις, εκτελούνται και εργαστηριακές ασκήσεις, που αφορούν στη χρήση CAD για τα προαναφερθέντα θέματα.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Δ.-Θ. Κακλαμάνη, Κ. Νικήτα, Ν. Ουζούνογλου, Ν. Μωραΐτης (Ε.ΔΙ.Π.), Ξ. Παπαδομιχελάκη                  | Έκτο    | Εαρινή    | 6    | 0  | 5    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης, Υποχρεωτικό κατ’ επιλογήν                       | Ελεύθερα, Υποχρ. Ομάδας                                    | Τ, ΤΜ          | -      |           |
| ΓΛΩΣΣΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ Ι                                                      | 3061    | Το μάθημα έχει ως στόχο τη μελέτη των βασικών εννοιών και μοντέλων που σχετίζονται με το σχεδιασμό και την υλοποίηση γλωσσών προγραμματισμού. Η ύλη περιλαμβάνει μια σύντομη εισαγωγή στις διάφορες οικογένειες γλωσσών προγραμματισμού, θέματα σχεδιασμού των γλωσσών προγραμματισμού, αρχές σύνταξης και συντακτικής ανάλυσης, δεδομένα και πράξεις. Εισαγωγή στις συναρτησιακές γλώσσες με αυστηρό σύστημα τύπων με χρήση κάποιας αντίστοιχης γλώσσας (π.χ. ML ή Haskell). Συμπερασμός τύπων και πολυμορφισμός. Ονόματα και εμβέλεια. Εγγραφές δραστηριοποίησης. Εισαγωγή στον αντικειμενοστρεφή προγραμματισμό με χρήση κάποιας αντίστοιχης γλώσσας (π.χ. C++, Java ή C#). Διαχείριση μνήμης. Μηχανισμοί χειρισμού εξαιρέσεων. Παράμετροι και πέρασμα παραμέτρων. Εισαγωγή στις γλώσσες λογικού προγραμματισμού και στη θεωρητική τους θεμελίωση με χρήση της γλώσσας Prolog.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | Ζ. Παρασκευοπούλου, Κ. Σαγώνας                                                                        | Έκτο    | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης, Υποχρεωτικό κατεύθυνσης, Υποχρεωτικό κατ’ επιλογήν | Ελεύθερα, Επιλογή, Υποχρ. Ομάδας                           | Λ, ΛΜ          | -      |           |
| ΘΕΩΡΙΑ ΔΙΚΤΥΩΝ ΚΑΙ ΚΥΚΛΩΜΑΤΩΝ                                                  | 3068    | Πρότυπα στοιχεία, μοντελοποίηση, αρχές συμβιβαστότητας και συνέχειας, ανάλογα και δυαδικώς ανάλογα συστήματα. Θεωρία γράφων, συστηματικές μέθοδοι γραφής εξισώσεων, μέθοδοι κόμβων, βρόχων, αραιού πίνακα. Τροποποιημένες μέθοδοι κόμβων, εξισώσεις καταστάσεως. Μήτρα συναρτήσεων μεταφοράς, πόλοι και μηδενικά, χρονική απόκριση κυκλώματος, ανάλυση ευστάθειας, ευαισθησία. Αρμονική απόκριση δικτύων, συναρτήσεις κέρδους, φάσεως, πλάτους, καθυστέρησης ομάδος, πραγματικού και φανταστικού μέρους και σχέσεις τους, σχέσεις αποκρίσεων συχνότητας και χρονικών αποκρίσεων, διαγράμματα Bode, ασυμπτωτικά διαγράμματα Bode. Δίκτυα πολλών ακροδεκτών και πολύθυρα δίκτυα, δίθυρα δίκτυα και τρόποι περιγραφής τους, μετατροπή περιγραφών, διπλά τερματισμένα δίθυρα, ειδικά δίθυρα, σύνδεση διθύρων, αμοιβαία και συμμετρικά δίθυρα δίκτυα, ευστάθεια και παθητικότητα διθύρων δικτύων. Κυκλώματα διακοπτομένων πυκνωτών, εξισώσεις καταστάσεως, τροποποιημένη μέθοδος κόμβων, χρονική απόκριση, ισοδύναμα διακριτά πολύθυρα κυκλώματα.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Κ. Τζαφέστας                                                                                          | Έκτο    | Εαρινή    | 5    | 0  | 4    | -                                                                  | Επιλογής                                                                                     | Κατ' Επιλογή Υποχρεωτικό                                   | -              | -      |           |
| ΗΛΕΚΤΡΙΚΗ ΟΙΚΟΝΟΜΙΑ                                                            | 3074    | Ανάλυση ηλεκτρικών φορτίων. Μοντέλα πρόβλεψης του φορτίου. Υπολογισμός της οριακής τιμής του συστήματος σε περιβάλλον απελευθερωμένης αγοράς. Οικονομική κατανομή της παραγόμενης ισχύος χωρίς απώλειες και με απώλειες δικτύου. Ένταξη μονάδων παραγωγής. Κόστος επενδύσεων, κόστος λειτουργίας και μέσο κόστος παραγωγής ηλεκτρικής ενέργειας. Τιμολόγηση ηλεκτρικής ενέργειας. Βασικές αρχές αξιοπιστίας λειτουργίας συστημάτων ηλεκτρικής ενέργειας. Μαρκοβιανή μεθοδολογία. Δείκτες αξιοπιστίας λειτουργίας. Μέθοδος ανάλυσης ενδεχομένων βλάβης. Μέθοδος ελαχίστων οδεύσεων και ελαχίστων τομών. Κριτήριο Ολικής Απώλειας Συνεχείας. Παροδικές βλάβες. Αξιοπιστία λειτουργίας συστημάτων παραγωγής ηλεκτρικής ενέργειας (βασικές πιθανοτικές μέθοδοι, μέθοδος συχνότητας και διάρκειας). Κόστος αξιοπιστίας λειτουργίας. Στρατηγικές συντήρησης με κριτήρια αξιοπιστίας.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Π. Γεωργιλάκης, Α. Παπαβασιλείου                                                                      | Έκτο    | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης                                                  | Ελεύθερα, Υποχρ. Ομάδας                                    | Ε, ΕΜ          | -      |           |
| ΤΕΧΝΟΛΟΓΙΑ ΦΩΤΙΣΜΟΥ                                                            | 3103    | Ορατή ακτινοβολία και φως. Φωτοπική, σκοτοπική και μεσοπική όραση. Μέλαν σώμα. Φάσμα, χρωματομετρικά συστήματα, χρωματομετρία. Θερμοκρασία χρώματος. Δείκτης απόδοσης χρωμάτων (CRI). Βασικές αρχές, μεγέθη και μονάδες μέτρησης της φωτομετρίας. Φωτεινή ένταση, φωτεινή ροή, ένταση φωτισμού, λαμπρότητα. Φωτομετρικοί νόμοι. Φωτομετρικά διαγράμματα. Διαγράμματα πολικής κατανομής. Διαγράμματα ίσου φωτισμού (ISOLUX). Ζωνική κατανομή φωτεινής ροής και κωδικοποίηση (CIE, DIN, CEN, UTE). Συντελεστής χρησιμοποίησης (UF). Θάμβωση. Διάγραμμα λαμπρότητας Soelner και UGR. Τύποι λαμπτήρων. Αξιοποίηση φυσικού φωτισμού. Συστήματα ελέγχου. Μέθοδοι φωτομετρικών υπολογισμών. Λογισμικά μελετών φωτισμού (RELUX ή DIALUX). Μελέτες φωτισμού εσωτερικού και εξωτερικού χώρου. Εργαστηριακές μετρήσεις φωτομετρικών μεγεθών σε λαμπτήρες και φωτιστικά.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Ι. Γκόνος, Χ. Χριστοδούλου, Γ. Κυριακόπουλος (Ε.ΔΙ.Π.)                                                | Έκτο    | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Ζ, ΖΜ          | -      |           |
| ΦΥΣΙΚΗ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑ ΤΩΝ ΛΕΪΖΕΡ                                               | 3121    | Μοντέλο ελεύθερων ηλεκτρονίων. Ιδιότητες θερμικής ισορροπίας. Ιδιότητες μεταφοράς. Κρυσταλλικά πλέγματα. Περίθλαση ακτινοβολίας από κρυστάλλους. Αντίστροφο πλέγμα. Δεσμοί στους κρυστάλλους. Ταξινόμηση των κρυστάλλων. Κίνηση ηλεκτρονίων σε περιοδικό δυναμικό. Θεώρημα Bloch, Ενεργειακές ζώνες. Ημιαγωγοί. Ενεργός μάζα, Πυκνότητα Καταστάσεων, Συγκεντρώσεις φορέων, Ενδογενείς ημιαγωγοί, Νόμος δράσης των μαζών, Εξωγενείς ημιαγωγοί, Συνθήκη ουδετερότητας, Επίπεδο Fermi, Επαφή p-n χωρίς εξωτερική τάση. Ταλαντώσεις πλέγματος. Φωτόνια, Σχέσεις διασποράς, Θερμικές ιδιότητες. Επιφάνειες. Άμορφα υλικά. Το μάθημα περιλαμβάνει εργαστηριακή εξάσκηση.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Ι. Ζεργιώτη, Α. Παπαγιάννης                                                                           | Έκτο    | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής                                                                           | Ελεύθερα                                                   | -              | -      |           |
| ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ                                                               | 3123    | Συστήματα Διαχείρισης Βάσεων Δεδομένων (Database Management Systems) και η αρχιτεκτονική τους. Μοντελοποίηση - Το μοντέλο E-R. Αναφορά στα κλασσικά μοντέλα Βάσεων Δεδομένων (Ιεραρχικό, Δικτυωτό). Το Σχεσιακό Μοντέλο. Η γλώσσα SQL. Συστήματα Αρχείων και Φυσικός Σχεδιασμός Βάσεων Δεδομένων. Λογικός Σχεδιασμός και Κανονικοποίηση (normalization). Δομές Δεδομένων για Βάσεις Δεδομένων - ταξινομημένοι δείκτες και δείκτες κατακερματισμού. Θέματα επεξεργασίας και βελτιστοποίησης ερωτήσεων σε Συστήματα Διαχείρισης Βάσεων Δεδομένων. Διδάσκοντες: Δ. Τσουμάκος, Μ. Κόνιαρης (Ε.ΔΙ.Π.)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | -                                                                                                     | Έκτο    | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης, Υποχρεωτικό κατεύθυνσης, Υποχρεωτικό κατ’ επιλογήν | Ελεύθερα, Επιλογή, Υποχρ. Ομάδας                           | Λ, ΛΜ          | -      |           |
| ΗΛΕΚΤΡΟΝΙΚΗ ΙΣΧΥΟΣ Ι                                                           | 3127    | Εισαγωγή στην τεχνολογία των Ηλεκτρονικών Ισχύος. Ημιαγωγικά στοιχεία ισχύος (δίοδος, θυρίστορ, BJT, MOSFET, GTO, IGBT). Ηλεκτρικά κυκλώματα με διακόπτες και διόδους. Ανάλυση και λειτουργία μονοφασικών και τριφασικών ανορθώσεων με διόδους. Ανάλυση και λειτουργία μονοφασικών και τριφασικών ανορθώσεων με θυρίστορ. Έλεγχος της τάσης εξόδου μιας ανόρθωσης με θυρίστορ. Ανάλυση και λειτουργία μονοφασικών και τριφασικών αντιστροφέων ισχύος. Έλεγχος της τάσης εξόδου ενός αντιστροφέα με τις τεχνικές της SPWM και της SVPWM. Ποιότητα ισχύος ανορθωτικών διατάξεων και αντιστροφέων. Μετατροπείς συνεχούς ρεύματος σε συνεχές. Διακοπτικές ανορθωτικές διατάξεις. Υπολογισμός απωλειών ημιαγωγικών στοιχείων. Εφαρμογές των διατάξεων ηλεκτρονικών ισχύος στα συστήματα ηλεκτρικής κίνησης, στα συστήματα ανανεώσιμων πηγών ενέργειας και στα δίκτυα μεταφοράς ηλεκτρικής ενέργειας.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Α. Αντωνόπουλος, Σ. Παπαθανασίου, Π. Ροβολής (Ε.ΔΙ.Π.)                                                | Έκτο    | Εαρινή    | 6    | 0  | 5    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης                                                  | Ελεύθερα, Υποχρ. Ομάδας                                    | Ζ, ΖΜ          | -      |           |
